Campaign,Ad group,Keyword,KW ID,Match type,Quality score,Est First Pos. Bid,Est Top of Page Bid
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_12,+2012 +toyota +camry,371462857,Broad,10,$9.98,$8.32
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_14,+2014 +toyota +camry +for +sale,540282177,Broad,10,$11.62,$9.68
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_15,+2015 +toyota +camry +for +sale,518188218,Broad,9,$8.64,$7.20
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_15,+2015 +kia +soul,698853859,Broad,10,$10.98,$9.15
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_13,+toyota +camry +2013,534068489,Broad,7,$10.47,$5.84
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_15,2015 honda civic for sale,624346436,Exact,7,$11.59,$9.65
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_15,honda civic 2015,590357364,Exact,8,$7.76,$6.46
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_11,toyota camry 2011,561522912,Exact,6,$10.91,$7.17
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_11,+toyota +corolla +2011,516860658,Broad,10,$10.31,$6.99
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_13,+2013 +toyota +camry +for +sale,486105700,Broad,10,$11.86,$4.61
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_14,2014 toyota camry,448962360,Exact,9,$11.43,$8.87
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_11,2011 hyundai elantra,472735902,Exact,10,$10.31,$8.59
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_11,2011 kia soul,395816939,Exact,4,$11.41,$9.51
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_11,kia soul 2011,358015960,Exact,8,$5.96,$4.97
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_11,+kia +soul +2011,340390329,Broad,8,$10.55,$8.79
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_12,+2012 +kia +soul +for +sale,452772197,Broad,9,$5.74,$3.59
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_13,2013 kia soul for sale,323755079,Exact,10,$10.07,$3.09
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Kia-MO_Soul-YR_14,2014 kia soul for sale,471394741,Exact,8,$7.51,$6.26
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Camry-YR_15,toyota camry 2015,544768380,Exact,8,$5.22,$2.64
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_12,kia soul 2012,609990731,Exact,8,$5.81,$4.85
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_13,+kia +soul +2013,535446182,Broad,10,$9.18,$7.40
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Kia-MO_Soul-YR_13,+2013 +kia +soul +for +sale,647828098,Broad,10,$8.37,$2.42
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_13,toyota camry 2013,139891896,Exact,7,$11.25,$9.37
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Camry-YR_13,+toyota +camry +2013,158812592,Broad,7,$11.58,$9.65
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_11,+2011 +toyota +corolla +for +sale,627788690,Broad,9,$8.69,$4.62
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_12,2012 toyota corolla,898448127,Exact,10,$11.74,$9.79
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_13,2013 toyota corolla for sale,341579136,Exact,10,$4.24,$3.54
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Toyota-MO_Corolla-YR_14,2014 toyota corolla,386899557,Exact,9,$7.60,$6.34
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_11,2011 toyota corolla for sale,494708940,Exact,10,$7.25,$6.04
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_13,+2013 +toyota +corolla,427359232,Broad,9,$8.22,$5.17
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_13,+toyota +corolla +2013,499864847,Broad,10,$10.94,$4.71
SRCH-I-DAL-TOTL,SRCH-I-DAL-MK_Toyota-MO_Corolla-YR_15,+toyota +corolla +2015,276896596,Broad,10,$5.71,$2.75
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Ford-MO_Fusion-YR_12,ford fusion 2012,157538763,Exact,6,$7.31,$6.09
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Ford-MO_Fusion-YR_15,+ford +fusion +2015,552662843,Broad,8,$11.99,$9.99
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_GMC-MO_Terrain-YR_12,2012 gmc terrain for sale,191843995,Exact,10,$11.53,$9.61
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Accord-YR_13,+2013 +honda +accord,532409887,Broad,10,$5.35,$4.46
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Honda-MO_Civic-YR_13,2013 honda civic for sale,712621870,Exact,4,$9.75,$8.12
SRCH-I-ATL-TOTL,SRCH-I-ATL-MK_Hyundai-MO_Elantra-YR_12,+2012 +hyundai +elantra,282744758,Broad,10,$6.51,$3.67
