KW ID,Impressions,Clicks,Cost,Conversions
371462857,"10,650","1,540","$5,798",22
540282177,"44,350",560,"$1,384",17
518188218,"38,840",870,"$2,930",9
698853859,"40,470",340,$676,8
534068489,"32,940",520,"$2,872",43
624346436,"39,270",250,"$1,318",6
590357364,"48,020","2,000","$8,314",6
561522912,"36,820",160,$920,6
516860658,"9,270",570,"$1,549",5
486105700,"23,800",900,"$1,938",39
448962360,"13,590",940,"$4,255",12
472735902,"25,440","1,060","$3,762",4
395816939,"21,310",610,"$2,336",5
358015960,"26,130",130,$718,5
340390329,"21,980",910,"$4,919",5
452772197,"19,580","1,680","$7,905",14
323755079,"44,800",580,$857,35
471394741,"41,620","1,950","$10,467",10
544768380,"55,730","1,780","$7,565",6
609990731,"29,750","1,000","$2,115",14
535446182,"20,780","1,340","$3,486",35
647828098,"42,290",410,$727,35
139891896,"47,500","1,580","$2,450",35
158812592,"36,020",670,"$1,330",35
627788690,"14,110",220,$556,4
898448127,"27,100",670,"$1,681",11
341579136,"11,600",830,"$3,169",26
386899557,"26,560","1,860","$2,867",8
494708940,"21,810",820,"$1,870",4
427359232,"9,180","1,650","$5,161",26
499864847,"40,420",730,"$1,894",26
276896596,"31,370","1,200","$2,832",4
157538763,"10,700",350,"$2,419",8
552662843,"26,170",600,"$3,025",3
191843995,"7,620","1,000","$2,801",8
532409887,"27,930",630,"$2,112",19
712621870,"12,470",660,"$4,514",24
282744758,"16,370",140,$222,9
139563662,"10,890",910,"$6,709",7
175949674,"26,570",340,"$1,723",11
607692757,"55,010","1,630","$6,911",4
725959254,"12,800",620,"$4,097",4
484440977,"26,420",270,$839,11
258078001,"13,690","1,310","$3,586",28
830667529,"33,990","1,210","$4,487",4
814500188,"24,550","1,390","$2,386",6
155055720,"28,360",890,"$1,490",3
834424426,"28,340",540,$932,10
482224358,"18,010","1,140","$2,930",24
530999646,"22,950","1,370","$7,931",4
635234156,"13,490",570,"$3,947",4
715543838,"15,390",890,"$1,720",11
392152152,"48,030","2,340","$5,796",4
478344121,"22,060",360,$936,4
613695502,"8,950","1,630","$5,373",11
798338152,"20,590","1,270","$4,434",11
361906971,"34,660","1,380","$6,777",8
496713409,"24,080","1,230","$8,002",8
166671758,"17,730",160,"$1,259",4
623806740,"47,920","2,110","$7,625",27
488606427,"12,640","1,510","$1,858",27
274161105,"23,580",170,$314,4
619188043,"19,100",830,"$5,010",4
150336449,"40,410",220,$929,18
438489756,"31,870","1,130","$2,035",7
707207474,"38,090","1,430","$2,635",17
291598333,"42,090",410,"$1,763",5
512412064,"19,940",590,"$2,684",5
723488561,"44,120",710,"$3,323",3
873542194,"21,410",870,"$3,061",2
212899410,"22,670",110,$672,2
589496081,"20,030",320,"$1,234",5
130254722,"40,070",800,"$2,771",5
330925092,"13,100",690,"$4,869",3
438756107,"20,270",780,"$5,778",8
150956307,"35,980",690,"$2,710",8
227199773,"32,910",460,"$1,835",21
618271606,"23,970",800,"$2,167",3
511510126,"44,810",240,"$1,601",6
732254614,"9,110",510,"$2,280",3
573143314,"16,180","1,140","$3,257",3
685539683,"22,430",360,"$1,138",6
674618624,"10,460","1,290","$2,217",5
764240437,"13,870","1,100","$4,337",2
224961063,"34,750",80,$517,3
527959196,"34,310","1,630","$2,755",7
454561515,"21,390",390,"$2,243",4
411373036,"31,100",120,$346,20
379056213,"16,970","1,290","$5,202",6
187873847,"41,690",990,"$2,073",3
211278662,"23,910",630,"$3,183",2
465369564,"10,790",310,$366,2
104777447,"9,700",270,$618,17
336398094,"13,570","1,500","$5,454",3
229852632,"23,560","1,040","$1,561",7
215316710,"13,060",140,$156,21
338379336,"15,200","1,340","$7,696",3
452060928,"13,670",530,"$1,004",8
311126636,"30,730",440,"$2,048",3
155657300,"22,380",630,"$4,071",3
277419587,"48,500","1,280","$1,999",23
161578444,"46,910",230,"$1,397",7
356063443,"22,520","1,460","$1,925",7
626721899,"21,580",500,$652,8
570266655,"37,490",790,"$4,872",20
458653978,"43,150",950,"$2,528",20
375767985,"10,800","1,000","$4,383",3
165263458,"26,710","1,060","$1,516",21
179347600,"41,190",670,"$1,666",9
771363373,"32,140",230,$497,4
756517473,"14,520",550,$634,8
381982570,"36,380","1,200","$2,007",8
890982826,"17,000",860,"$2,649",6
140495032,"7,050",680,$933,2
372569534,"28,520",400,$542,13
580695755,"19,150",920,"$4,302",2
243125624,"9,700",290,"$1,072",3
288387429,"21,280",130,$915,2
475823127,"36,470","1,260","$4,718",15
578871374,"23,360",360,"$1,862",2
817979115,"20,020",850,"$5,429",4
772779824,"41,290","1,080","$2,036",4
362982372,"35,200",840,"$4,293",2
176818544,"34,370",850,"$4,141",2
458844760,"28,080",110,$729,5
156122058,"10,750",130,$134,13
288229530,"32,700",770,"$2,856",4
307454641,"13,520",420,"$1,179",4
733264287,"42,460",520,"$2,249",2
351565809,"9,210",670,"$3,518",2
811670976,"22,180",120,$824,7
550124274,"40,560","1,460","$4,719",17
488250221,"56,960","1,050","$2,020",3
410118575,"13,260",390,"$1,275",2
733277810,"24,520",330,$429,2
530895204,"18,530",470,$903,5
235773953,"21,800",170,$898,4
376544533,"36,640",510,"$1,336",2
896438626,"18,980",540,"$2,682",19
585873763,"57,270",890,"$6,312",3
345874251,"22,690",670,"$1,063",20
249677406,"11,560",150,$572,7
804904046,"26,180","1,070","$1,997",5
165894812,"19,320",750,"$1,944",2
103946435,"19,750",110,$648,6
193723089,"15,090",430,"$2,368",2
386274175,"14,550",610,"$2,166",2
549764221,"30,510",980,"$1,787",4
384944164,"21,770","1,010","$1,256",2
455583045,"15,640",550,$714,5
494347816,"19,100",290,"$1,567",2
411612989,"14,830",760,"$5,695",7
537326908,"41,170",250,"$1,033",7
252790913,"16,950",950,"$2,726",17
894170656,"8,000",110,$385,6
602445412,"15,410",180,"$1,195",16
827000525,"27,740","1,140","$3,236",6
587867712,"24,700",270,$892,3
496665345,"34,620",960,"$3,509",3
361591776,"25,930",730,"$2,745",8
129434603,"33,490",260,$722,17
724838457,"10,320","1,110","$2,283",5
509398313,"18,310",120,$536,5
112753057,"20,090",870,"$4,051",3
751752187,"6,670",470,"$1,469",6
505348646,"8,570",480,"$1,220",6
270756549,"9,860",140,$181,4
232753840,"26,110",400,"$2,260",7
313444651,"24,330",630,"$3,355",3
393860298,"20,970",280,"$1,149",6
766326524,"12,050",460,"$1,893",16
830844151,"19,570",910,"$6,622",3
621999356,"32,190",390,"$2,150",6
499060430,"23,210",350,"$1,880",3
873637214,"18,030",330,"$2,111",4
612445712,"28,390",400,"$1,717",4
681858310,"21,270",100,$540,4
877020933,"14,020",480,$568,4
242139705,"24,580",360,"$2,129",4
319972082,"7,880",980,"$2,700",4
257119901,"25,820",140,$592,9
264374602,"7,240",600,"$3,297",3
203886646,"24,020",590,"$1,902",1
165042800,"22,150",530,"$1,274",2
440010066,"11,120","1,090","$4,191",2
692882076,"17,500",290,"$1,261",5
679724042,"12,210",530,$839,5
201555799,"22,800","1,020","$7,941",4
217849955,"23,950",600,"$2,849",4
416423367,"18,840",700,"$2,290",2
646765856,"11,490",430,$535,2
212430265,"18,160",860,"$5,838",11
617559021,"31,640",860,"$3,392",11
272895776,"36,670",710,"$1,548",11
112318695,"18,980",260,"$1,225",3
490715266,"8,670",130,$276,2
521850484,"21,900",170,$826,4
726941243,"15,770",770,"$5,308",2
237064686,"14,900",670,"$2,608",2
616305175,"24,980",260,$873,4
820301263,"28,960",240,$634,4
839738429,"38,210",880,"$3,034",3
376176319,"18,070",930,"$4,956",3
705383818,"24,830",160,$804,2
103135412,"32,720",530,"$3,248",3
650547719,"30,330",850,"$4,412",2
595919219,"29,340",200,"$1,560",2
100642891,"18,470",600,"$1,272",2
158457879,"29,460",390,"$1,379",6
736173459,"27,290",250,$924,6
663118922,"38,960",960,"$3,109",5
596400377,"59,120","2,040","$5,698",5
578084300,"33,010",770,"$1,384",2
374319091,"13,660",560,"$2,074",4
545595933,"15,560",430,"$2,330",4
514575379,"28,600",780,"$3,037",4
892649812,"29,250",610,"$4,410",10
595640320,"23,230",970,"$2,154",10
272524909,"32,650",130,$383,3
305581971,"6,640",890,"$5,958",3
144462143,"10,680",220,$910,2
547025539,"17,630",70,$272,2
591795099,"39,310",650,"$2,349",6
177330913,"30,150","1,220","$6,869",5
615078594,"22,060",860,"$3,751",5
421197979,"27,970",360,"$2,341",5
765661791,"6,900",870,"$6,465",5
